id,username,ulasan,likes,tanggal
1,budi_santoso,"Produk original, kualitas sangat bagus dan packaging rapih banget. Puas belanja disini!",12,2026-08-10
2,siti_rahma,"Pengiriman super cepat, kemarin pesan hari ini sudah sampai. Mantap rekomen!",8,2026-08-11
3,ahmad_fauzi,"Barang sesuai deskripsi, respon seller ramah dan cepat. Bintang 5 pokoknya!",15,2026-08-12
4,dewi_lestari,"Suka banget sama warnanya, bahannya tebel dan halus. Bakal order lagi nih.",5,2026-08-12
5,eko_prasetyo,"Kualitas luar biasa jos gandos! Worth it banget dengan harga segini.",21,2026-08-13
6,mega_kusuma,"Produk bagus berfungsi dengan normal, admin fast respon. Terima kasih seller.",4,2026-08-14
7,rizky_firmansyah,"Barang original no kw, segel aman mulus. Mantappp betul!",9,2026-08-15
8,nurul_hidayah,"Alhamdulillah paket mendarat selamat, paking bubble wrap tebal aman.",6,2026-08-15
9,hendra_gunawan,"Bagus sih, tapi ukuran agak kekecilan dikit. Overall masih oke.",2,2026-08-16
10,anita_wijaya,"Barang sudah sampai kak, belum dicoba semoga awet ya.",1,2026-08-16
11,doni_setiawan,"Biasa aja standar sesuai harga murah meriah.",0,2026-08-17
12,maya_safitri,"Warna agak beda sedikit dari foto katalog, tapi kualitas bahan lumayan.",3,2026-08-17
13,agus_yulianto,"Pengiriman agak lama 4 hari baru dikirim, tapi barang datang selamat.",2,2026-08-18
14,rini_astuti,"Standar pabrik, fungsi normal tidak ada kendala.",1,2026-08-18
15,fajar_nugroho,"Netral sih ga ada yg istimewa, lumayan lah buat harian.",0,2026-08-19
16,tuti_handayani,"Kecewa berat! Barangnya cacat dan layarnya ada garis putih.",32,2026-08-20
17,bayu_ramadhan,"Sangat jelek! Rusak parah pas dibuka, packing cuma plastik tipis.",19,2026-08-20
18,indah_permata,"Seller slow respon parah, dichat dari kemarin ga dibalas sama sekali!",27,2026-08-21
19,reza_aditya,"Zonk banget, barang yg dikirim salah tipe dan ga bisa dipakai. Kapok!",14,2026-08-21
20,clarissa_putri,"Nyesel beli disini, barang tiruan kw bukan ori seperti deskripsinya!",45,2026-08-22
21,yusuf_kurnia,"Barang tidak menyala sama sekali, rugi uang saya!",18,2026-08-22
22,nadia_utami,"Pengiriman lama banget seminggu lebih baru sampai, kurir lelet.",11,2026-08-23
23,gilang_wicaksono,"Packaging rusak penyok kardusnya, untung barang dalamnya masih aman.",4,2026-08-24
24,vina_marina,"Kualitas top markotop, seller terbaik yang pernah ada di olshop!",33,2026-08-25
25,andi_hermawan,"Sangat puas sekali dengan pelayanan toko ini, sukses terus!",17,2026-08-25
